会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
株式会社ビッグモーター | ◆最高年収2282万円の先輩も活躍中◆業界No.1企業の安定性◆,《飛込み・テレアポなしの完全反響》お客様の問合せや来店に対して、クルマの販売や買取をお任せします。★3人に1人が契約につながっている仕組み,《全国約300店舗！転勤なし！マイカー通勤OK！》 ★勤務地は希望を最大限考慮します！ ■北海道…,330万円～1500万円,《やる気重視／未経験・第二新卒歓迎》「高収入を実現したい！」そんな方は大歓迎です！ ◆高卒以上 ★残業少なめ＆月8日以上休み,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…,2020/11/06
株式会社砂建,《 家族に誇れる仕事！ 》ウォータージェットを用いた橋梁等の「メンテナンス」または建築資材を運ぶ「配送」を担当 ★充実の福利厚生に注目！,【 転勤なし！マイカー通勤可 】 岡山市または倉敷市の拠点に配属します。 現場へは直行直帰の勤務で…,,《 未経験・第二新卒の方歓迎！ 》◇要普通免許 ◇学歴・職歴・年齢不問 ※プラント工事や施工管理・メンテナンスの経験、大型免許があれば優遇します,月給 24万〜55万円 ＋ 諸手当 ★完全週休2日の働き方も選べます！ ★経験者は前職給与を最大限考慮しま…,2020/11/24
株式会社ビッグモーター,【完全反響スタイル！ノルマなし！】ご来店・ お問い合わせのあったお客様へ中古車の販売・買取をお任せします。☆知名度や豊富な在庫が活躍を応援！,【全国約300店舗！転勤なし！マイカー通勤OK！】 ★勤務地は希望を最大限考慮します！ ■北海道…,330万円～1500万円,【第二新卒歓迎！異業界出身の先輩が多数活躍中！】応募条件：◆社会人経験　☆残業少なめ＆月8日以上休み ☆多彩な福利厚生,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…,2020/11/17
株式会社ビッグモーター,《インセンがあるから月収50万円以上も可能》オイル交換などの簡単な業務から、定期点検や事故車の修理対応などをお任せします。,《転勤なし！U・Iターン歓迎！マイカー通勤OK！》 ★勤務地は希望を最大限考慮します！ 下記エリア…,300万円～1000万円,《未経験・無資格・第二新卒歓迎◆経験者優遇》「手に職つけたい！スキルを磨きたい！クルマが好き！」そんな方歓迎 ★多彩な福利厚生 ★資格取得支援,"【31歳以上】 月給245,500円以上＋インセン（月平均10〜20万円）＋諸手当 ※スキル・経験等を考慮し、決…",2020/11/17
UTコンストラクション株式会社,【未経験入社者の平均月収29万円】建設プロジェクトにおける、写真撮影・関係者との打ち合わせ・スタッフの勤怠管理等を担当,【希望勤務地考慮、ご希望考慮します】◎全国のプロジェクト先、各拠点(東京/仙台/大阪/名古屋/福岡…,350万円～400万円,【未経験歓迎・男性活躍中】未経験者の入社実績多数！11・12月入社歓迎！ゆくゆくは本社の営業や人事、総務等へのキャリアチェンジも可能！,月給23万円〜＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別途、残…,2020/11/19
ME不動産埼京株式会社,【新規テレアポ・飛込みなし】月12～13件Webなどから問合せがあったお客様に、最適な住まいをご案内。★社長面接1回のみで即内定！入社日相談OK,【埼玉県所沢市、川口市のいずれか】 ※どちらの店舗もマイカー通勤OK(大型駐車場完備) -----…,300万円～800万円,《応募条件》普通自動車免許(AT可)をお持ちの方　◎トップクラスの会社でノウハウを学びたい方大歓迎！まっさらな未経験者もイチから育てます★,【25歳以上の方】月給25万円以上＋退職金積立(2万円)＋賞与 【24歳の方】月給25万円以上＋賞与 【24歳未…,2020/11/17
UTエイム株式会社,収入が大切！という方に見てほしい案件・社宅完備の案件多数！製造工場で部品の組立/検品/梱包/在庫管理等を担当！,【転勤なし】全国40都道府県に配属！全国に約400ヶ所の勤務地 家具家電付きの綺麗な社員寮あり(社…,300万円～400万円,《履歴書・職務経歴書不要です！》未経験や社会人デビュー、ブランクのある方も大歓迎！未経験から「がっつり稼ぎたい」を応援します★,月給20万〜42万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間…,2020/11/17
株式会社グラスト,【研修充実／早期キャリアUP】◆人材不足にお悩みの企業様を訪問し、ヒアリング。課題を確認し、企業様ごとに最適な解決方法を提案します。,※転勤なし/希望を考慮 ※北海道/仙台/東京/横浜/大阪/難波/天神/宮崎/那覇の各拠点 ★東京・…,350万円～700万円,【未経験・第二新卒歓迎／学歴不問】＜こんな方は大歓迎！＞★人材業界に興味がある方 ★キャリアアップ志向がある方 ★『人と話す』ことが好きな方,月給25万円〜50万円 ※あなたの年齢・経験・能力を考慮のうえ、優遇いたします。(エリアにより規定あり）…,2020/11/17
株式会社レッド・フリップ,◆目標達成で随時昇給+高率インセン→年収1000万も可能◆光熱費削減&省エネにつながる、オール電化住宅向けの魅力的な商品や新電力を提案します,★転勤なし ★本社または各支店、全国各拠点 ★希望の拠点で働けます 【本社/支店】 ◆本社:千代田…,500万円～1000万円,◆“プロ級の営業スキル”を身に付けて最速で成功の道へ！◆35歳までの方全員と面接します◆学歴・経験不問◆人物重視の採用◆平均年齢27歳◆面接1回,月給25万円以上＋毎月インセンティブ ※上記はあくまで最低保証給です。 ※経験・年齢を考慮の上、当社の…,2020/11/17
株式会社アイダ設計,【テレアポ・飛び込みナシ】お問い合わせに対応する完全反響型の戸建住宅営業。希望や適性に応じて、分譲住宅／注文住宅のいずれかをお任せします。,"★全国＆希望を考慮 [宮城県]仙台 [福島県]郡山,いわき,白河 [茨城県]牛久,水戸,守谷 [栃…",,【未経験大歓迎】★前職・経験一切不問 ●要普免 ☆何らかの営業経験、接客・販売の経験がある方は大歓迎 ☆住宅や不動産業界の経験があれば尚可,【月給】20万円〜30万円 ※当初6ヵ月間は契約社員(給与は同額)その後、正社員として雇用 【入社時月収例…,2020/11/17
株式会社グランレブリー,【テレアポ・飛び込み・ノルマなし】ご来店や問合せのあったお客様に対する営業。適性に応じて、売買もしくは賃貸をご担当いただきます。,【阪急「桂」駅から徒歩3分】 ※転勤なし ※U・Iターン歓迎（社員寮あり） 本社／京都市西京区桂野…,350万円～1000万円,【学歴・年齢不問！人物重視の採用です】要普免（AT限定可）／地域に根差して安定して稼ぎたい方歓迎 ※第二新卒歓迎・フリーターの方もOK！,月給25万円〜30万円＋歩合給 ※年齢・経験を考慮の上決定 ※試用期間3ヶ月／月給20万円,2020/11/17
株式会社貴順,個人宅への宅配やルート配送をお任せします。★軽自動車（AT車）で運ぶので安心★車両のレンタルはもちろん、持ち込みもOK！★3密回避！1人でおシゴト,直行直帰OK 宮城県仙台市 東京都台東区 東京都墨田区 東京都江東区 東京都大田区 東京都世田谷区…,100万円～1000万円,【未経験大歓迎／学歴・ブランク不問】■要普免(AT可) ★これまでの経験は一切問いません！ ★社会人デビューも応援 ★正社員登用制度あり,完全出来高制(1件あたり案件150円〜240円) ★月収55万円以上のスタッフ8割以上 ☆収入満足度90％以上 …,2020/11/17
UTエイム株式会社,【オープンポジションの募集です】◆クルマ・ロボット・素材等の分野における、機械の操作・点検や業者対応・包装などの様々なものづくり業務を担当！,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,300万円～500万円,《履歴書・職務経歴書不要です！》未経験や社会デビュー・ブランクのある方も大歓迎！人付き合いが苦手でも大丈夫◎ ★年休127～190日 ★面接1回,月給20万〜42万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間…,2020/11/24
